id_employee,Name,last_name,birth_date,genre,area,salary,start_date,type,email,age
00-2889513,Dodi,Caves,1999-07-05,male,"Business Development",85942,2004-11-16,0,dodi.cav@gmail.com,25
00-2950779,Hyman,Dancey,1981-04-23,female,Training,179502,2015-06-10,0,hyman.dan@gmail.com,43
00-3008455,Rourke,Dawkins,1969-09-26,male,"Business Development",81067,2007-10-28,0,rourke.daw@gmail.com,54
00-3020430,Northrup,Arendt,2001-12-01,male,Services,181268,2011-09-06,0,northrup.are@gmail.com,22
00-3030708,Guntar,Arro,1997-04-22,female,"Business Development",147374,2020-11-16,1,guntar.arr@gmail.com,27
00-3052411,Midge,Orpyne,1984-01-04,female,Engineering,121893,2010-07-21,0,midge.orp@gmail.com,40
00-3105004,Isador,Crady,1968-06-08,female,Training,171873,2020-11-19,1,isador.cra@gmail.com,56
00-3135807,Nichol,Dionisii,1994-08-28,female,"Business Development",153741,2017-02-19,1,nichol.dio@gmail.com,29
00-3138749,Dorey,Diperaus,1978-12-20,male,Sales,80905,2006-04-06,1,dorey.dip@gmail.com,45
00-3208324,Lanie,Plewes,1992-07-25,female,Support,103460,2008-03-01,0,lanie.ple@gmail.com,32
00-3214670,Mahmoud,"De L'Isle",1990-09-04,male,Accounting,97531,2010-03-06,0,"mahmoud.de @gmail.com",33
00-3217869,Carlynne,Gouldthorpe,1968-04-11,female,Accounting,93766,2009-08-17,1,carlynne.gou@gmail.com,56
00-3334414,Modesta,Lanktree,1997-02-13,female,Engineering,118405,2002-04-30,0,modesta.lan@gmail.com,27
00-3341718,Tildie,Ranvoise,1982-08-13,male,Engineering,92899,2007-08-21,1,tildie.ran@gmail.com,41
00-3389894,Tallulah,Dowty,1983-01-26,male,Engineering,75079,2006-02-02,1,tallulah.dow@gmail.com,41
00-3402094,Addie,Coldman,2002-07-10,female,Engineering,184325,2011-09-25,0,addie.col@gmail.com,22
00-3457300,Eleanore,Pudner,1996-12-13,female,Engineering,114513,2002-02-28,1,eleanore.pud@gmail.com,27
00-3492248,Carlene,Goldwater,1975-01-19,female,"Business Development",66760,2019-02-25,0,carlene.gol@gmail.com,49
00-3597335,Amara,Jacobs,1982-06-14,male,Sales,86754,2006-02-07,1,amara.jac@gmail.com,42
00-3679205,Heall,Conville,1994-05-08,male,Training,93624,2010-11-12,1,heall.con@gmail.com,30
00-3739286,Jake,Dawdry,1993-02-26,male,Engineering,147458,2019-09-30,0,jake.daw@gmail.com,31
00-3744044,Maribelle,Bisson,1998-06-22,female,Training,108538,2016-01-21,0,maribelle.bis@gmail.com,26
00-3758963,Calypso,Connold,1984-09-27,female,"Business Development",131425,2001-11-22,0,calypso.con@gmail.com,39
00-3855769,Tanitansy,Fancett,1995-05-30,female,"Human Resources",90354,2005-10-31,0,tanitansy.fan@gmail.com,29
00-3860994,Allyce,Giacobazzi,1969-04-04,male,Marketing,100936,2019-12-27,1,allyce.gia@gmail.com,55
00-3961040,Filberte,Morant,1977-10-27,male,Engineering,180378,2002-03-06,0,filberte.mor@gmail.com,46
00-3964552,Sergei,Glidden,1996-02-15,male,"Product Management",101912,2016-11-04,0,sergei.gli@gmail.com,28
00-3987484,Chelsy,Clacey,1991-09-12,female,Training,104211,2006-01-30,0,chelsy.cla@gmail.com,32
00-4123013,Romy,Sandever,1969-01-20,male,"Research and Development",159712,2011-08-12,1,romy.san@gmail.com,55
00-4202411,Rorie,Rice,1982-03-13,male,Engineering,114677,2014-07-16,0,rorie.ric@gmail.com,42
00-4254147,Karel,Gullen,1993-12-18,male,Sales,95319,2013-03-08,0,karel.gul@gmail.com,30
00-4259069,Marcela,Bostock,1979-01-09,male,Engineering,76586,2005-01-01,0,marcela.bos@gmail.com,45
00-4464648,Agretha,Brunning,1978-02-15,female,Engineering,105639,2017-04-28,1,agretha.bru@gmail.com,46
00-4481784,Willdon,Pirozzi,1997-03-28,female,Support,125642,2016-03-12,0,willdon.pir@gmail.com,27
00-4521988,Paddie,Mallebone,1967-11-22,male,"Human Resources",165021,2016-07-04,1,paddie.mal@gmail.com,56
00-4585118,Karina,Slocum,1993-09-19,female,Services,91542,2018-12-23,0,karina.slo@gmail.com,30
00-4609499,Gun,Heathorn,1978-10-30,male,Services,119007,2015-12-25,0,gun.hea@gmail.com,45
00-4634919,Dario,Renshall,1971-01-07,female,Accounting,176947,2011-04-10,0,dario.ren@gmail.com,53
00-4767568,Bartholemy,Schutter,1975-09-27,male,Services,109279,2009-07-06,1,bartholemy.sch@gmail.com,48
00-4872960,Gamaliel,McRoberts,1978-11-10,male,Accounting,169540,2019-12-30,1,gamaliel.mcr@gmail.com,45
00-4890880,Demetre,Chaulk,1977-03-20,male,Sales,178594,2014-03-05,1,demetre.cha@gmail.com,47
00-4971801,Temple,Banasevich,1991-05-14,female,Engineering,131359,2020-10-11,0,temple.ban@gmail.com,33
00-5033764,Gabie,Olivier,1976-12-25,male,Engineering,155030,2005-06-23,0,gabie.oli@gmail.com,47
00-5045552,Carlen,Bruhnke,1990-08-06,male,Engineering,119193,2016-07-18,1,carlen.bru@gmail.com,34
00-5070457,Nathaniel,Coolahan,1998-12-02,female,Accounting,84675,2003-07-22,1,nathaniel.coo@gmail.com,25
00-5137192,Sarajane,Price,1970-01-28,male,Accounting,180400,2016-05-24,0,sarajane.pri@gmail.com,54
00-5155617,Hadria,Pallasch,1987-04-13,male,Engineering,98277,2016-12-02,0,hadria.pal@gmail.com,37
00-5175297,Bethina,Mathissen,1966-01-24,female,Engineering,154164,2001-12-23,0,bethina.mat@gmail.com,58
00-5221572,Joshua,Rubinsohn,1976-04-05,male,Services,180107,2006-07-12,0,joshua.rub@gmail.com,48
00-5273292,Philippa,Garrod,1986-09-14,female,"Product Management",110784,2012-03-29,0,philippa.gar@gmail.com,37
00-5421994,Sile,Schultheiss,1986-01-23,female,Accounting,103290,2012-12-10,1,sile.sch@gmail.com,38
00-5614221,Conroy,Vickars,1969-08-28,male,"Business Development",153512,2008-01-03,0,conroy.vic@gmail.com,54
00-5623981,Roscoe,Swindells,1979-04-28,female,Accounting,174120,2012-12-22,0,roscoe.swi@gmail.com,45
00-5649238,Antonietta,Obal,1977-11-03,male,Engineering,173686,2003-02-13,1,antonietta.oba@gmail.com,46
00-5687686,Yettie,Swanborough,1993-07-03,male,Sales,98038,2001-03-22,0,yettie.swa@gmail.com,31
00-5880378,Dannie,Thornton-Dewhirst,2000-10-18,female,Accounting,151416,2002-12-12,1,dannie.tho@gmail.com,23
00-5895027,Nessy,Shute,1982-04-05,male,Engineering,100069,2004-04-13,1,nessy.shu@gmail.com,42
00-5909899,Louise,Domingues,1977-04-26,male,"Research and Development",102872,2014-04-05,1,louise.dom@gmail.com,47
00-5917185,Frasquito,Frape,1972-08-02,male,Engineering,125066,2002-06-29,1,frasquito.fra@gmail.com,52
00-5955583,Leonie,Bridgeman,1997-11-17,male,Training,92378,2009-04-11,1,leonie.bri@gmail.com,26
00-5958157,Marijn,Shotboulte,1984-07-11,male,Accounting,84983,2017-09-16,1,marijn.sho@gmail.com,40
00-5965019,Gertrud,Jeavon,1987-06-11,female,"Research and Development",141441,2008-03-14,1,gertrud.jea@gmail.com,37
00-5992394,Gordie,Mariaud,1990-07-24,male,Accounting,121775,2011-05-29,0,gordie.mar@gmail.com,34
00-5993032,Corrinne,Very,1991-05-27,male,"Research and Development",86661,2005-06-21,0,corrinne.ver@gmail.com,33
00-6077710,Frank,Sikorsky,1998-02-10,male,Engineering,77945,2007-08-01,0,frank.sik@gmail.com,26
00-6093562,Linoel,Berrecloth,1973-07-19,male,Engineering,141146,2006-11-06,0,linoel.ber@gmail.com,51
00-6114236,Lucias,Sworder,1997-03-01,male,Engineering,167127,2007-10-31,0,lucias.swo@gmail.com,27
00-6163624,Malvina,"Mc Grath",2001-09-12,male,Engineering,129922,2005-05-17,0,"malvina.mc @gmail.com",22
00-6172539,Joanne,Jacob,1974-04-13,female,Engineering,106650,2003-02-03,1,joanne.jac@gmail.com,50
00-6252646,Yves,Yurivtsev,1990-09-19,male,"Human Resources",179943,2019-07-13,1,yves.yur@gmail.com,33
00-6338870,Curtice,Kidgell,1980-03-14,female,Engineering,67616,2018-03-18,1,curtice.kid@gmail.com,44
00-6371948,Ruby,O'Duilleain,1986-05-10,female,"Business Development",139305,2008-09-07,1,ruby.o'd@gmail.com,38
00-6420231,Joseito,Walaron,1975-05-16,male,Services,182319,2006-11-02,1,joseito.wal@gmail.com,49
00-6460144,Helli,Hothersall,1990-01-24,male,Engineering,87548,2012-06-22,1,helli.hot@gmail.com,34
00-6479395,Aura,Steagall,1978-07-19,male,Accounting,164594,2013-03-28,1,aura.ste@gmail.com,46
00-6565696,Flory,Ibbitt,1968-03-09,female,"Human Resources",160270,2009-08-13,0,flory.ibb@gmail.com,56
00-6609229,Leontine,Rammell,1986-08-15,female,"Product Management",98878,2001-11-10,0,leontine.ram@gmail.com,37
00-6666091,Carly,Everall,1966-12-25,female,Support,141114,2004-01-11,1,carly.eve@gmail.com,57
00-6675478,Reginald,Gosker,1979-10-13,female,Engineering,133844,2020-10-17,0,reginald.gos@gmail.com,44
00-6722855,Kimmi,Moff,1996-03-08,male,Engineering,146729,2001-04-04,0,kimmi.mof@gmail.com,28
00-6768311,Adina,Marcq,1991-01-16,female,Engineering,128676,2007-12-18,1,adina.mar@gmail.com,33
00-6790860,Enrica,Cohalan,1994-01-23,female,Engineering,147439,2009-04-26,0,enrica.coh@gmail.com,30
00-6792940,Valera,Hannent,1993-02-14,male,Engineering,182104,2017-05-29,0,valera.han@gmail.com,31
00-6797967,Albrecht,Geffinger,1980-01-18,female,Sales,171215,2018-11-19,0,albrecht.gef@gmail.com,44
00-6804149,Orsa,Pafford,1994-12-25,male,"Human Resources",174195,2001-12-21,0,orsa.paf@gmail.com,29
00-6902222,Pall,Snedker,1969-04-07,male,Support,115852,2009-10-04,1,pall.sne@gmail.com,55
00-6974128,Eilis,Byford,1966-05-07,male,Engineering,86523,2014-11-04,1,eilis.byf@gmail.com,58
00-7012064,Maridel,Canario,1990-11-17,male,Engineering,149261,2018-08-18,1,maridel.can@gmail.com,33
00-7043366,Mellie,Hariot,1983-11-25,female,Engineering,72130,2013-02-06,1,mellie.har@gmail.com,40
00-7080550,Stefan,Orht,1988-03-01,male,"Business Development",109170,2018-04-04,0,stefan.orh@gmail.com,36
00-7080839,Bertie,"La Batie",1991-12-04,male,Services,118723,2016-06-12,1,"bertie.la @gmail.com",32
00-7102476,Cammy,Bleakman,1983-08-12,male,Accounting,163199,2003-05-06,0,cammy.ble@gmail.com,40
00-7374971,Theodor,Perot,1989-09-11,male,Engineering,141898,2009-06-13,1,theodor.per@gmail.com,34
00-7494159,Lu,Larive,1999-08-13,female,"Human Resources",135078,2004-05-31,0,lu.lar@gmail.com,24
00-7507889,Marietta,Marieton,1995-03-30,male,"Human Resources",124199,2008-07-31,1,marietta.mar@gmail.com,29
00-7598768,Monte,"How to preserve",1972-10-20,female,Engineering,87788,2016-10-16,1,monte.how@gmail.com,51
00-7685590,Emanuele,Scotts,1986-10-19,male,Engineering,157506,2019-08-26,1,emanuele.sco@gmail.com,37
00-7693501,Kiley,Ricci,1972-03-15,female,Training,149623,2003-08-03,1,kiley.ric@gmail.com,52
00-7726076,Pavel,Corsor,1976-02-14,female,Services,154864,2017-02-02,1,pavel.cor@gmail.com,48
00-7766529,Nikaniki,Nurdin,1995-06-28,male,Accounting,68439,2019-06-29,1,nikaniki.nur@gmail.com,29
00-7800396,Siward,Phelipeaux,1981-03-29,male,"Business Development",115788,2003-02-09,1,siward.phe@gmail.com,43
00-7802037,Kaylee,Lambdin,1965-11-01,female,Engineering,174420,2003-03-09,1,kaylee.lam@gmail.com,58
00-7925080,Chrisy,Risen,1985-07-23,female,Engineering,175768,2011-02-03,1,chrisy.ris@gmail.com,39
00-8010185,Tab,Lissemore,2000-11-25,female,"Business Development",157628,2005-12-03,1,tab.lis@gmail.com,23
00-8113601,Rem,Hassey,1995-05-23,male,Accounting,134748,2008-05-29,1,rem.has@gmail.com,29
00-8203294,Brianna,Dudin,1988-02-15,female,Engineering,121704,2017-12-18,1,brianna.dud@gmail.com,36
00-8230593,Sheppard,Klosges,1992-10-25,male,"Product Management",174964,2010-08-22,0,sheppard.klo@gmail.com,31
00-8250034,Karlen,Duckworth,1981-11-03,male,"Human Resources",81548,2010-05-19,0,karlen.duc@gmail.com,42
00-8270076,Raphaela,Clowney,1971-11-02,male,Engineering,141259,2010-03-06,1,raphaela.clo@gmail.com,52
00-8302867,Idalia,Sherborne,1968-04-21,female,Services,168491,2016-07-07,0,idalia.she@gmail.com,56
00-8320940,Terence,MacConnechie,1965-10-26,male,Engineering,177085,2004-08-11,1,terence.mac@gmail.com,58
00-8429312,Shane,Ousbie,1966-12-12,male,Training,168549,2005-07-04,0,shane.ous@gmail.com,57
00-8477498,Cammi,Yakebovitch,1965-11-15,male,"Research and Development",176576,2004-01-04,0,cammi.yak@gmail.com,58
00-8477624,Tomkin,"Di Ruggiero",1993-10-24,male,Sales,109998,2010-02-18,1,"tomkin.di @gmail.com",30
00-8527252,Leanor,Gemnett,1974-07-31,male,Sales,117267,2013-07-20,0,leanor.gem@gmail.com,50
00-8536569,Sterling,Prue,1966-03-28,female,"Human Resources",152763,2004-03-22,0,sterling.pru@gmail.com,58
00-8541630,Loydie,Platts,1970-07-20,male,"Human Resources",103622,2012-06-07,1,loydie.pla@gmail.com,54
00-8542295,Darius,Birchenough,1968-09-12,male,"Research and Development",109535,2018-02-16,1,darius.bir@gmail.com,55
00-8571626,Jenn,Whitecross,1972-08-31,male,Training,81104,2010-01-11,0,jenn.whi@gmail.com,51
00-8586665,Glenna,Owbrick,1993-01-01,male,Accounting,150508,2011-07-07,1,glenna.owb@gmail.com,31
00-8679134,Lindy,Colliver,1992-04-20,female,"Business Development",116568,2003-01-28,0,lindy.col@gmail.com,32
00-8679430,Lorianna,Mitten,1971-10-09,female,Accounting,168875,2001-02-10,0,lorianna.mit@gmail.com,52
00-8679766,Modesty,O'Spellissey,1982-06-29,female,Services,129938,2009-10-15,1,modesty.o's@gmail.com,42
00-8704487,Lorain,Kibbe,1983-06-19,female,Accounting,112499,2015-07-27,1,lorain.kib@gmail.com,41
00-8712138,Gabie,Lawleff,1968-08-30,female,Training,132408,2004-05-10,1,gabie.law@gmail.com,55
00-8719634,Melanie,Rylands,1972-03-12,male,Accounting,123177,2016-11-17,0,melanie.ryl@gmail.com,52
00-8734191,Timothea,Summergill,1983-12-11,female,Training,93956,2004-08-27,1,timothea.sum@gmail.com,40
00-8772885,Thorn,Kidston,1967-10-15,male,Engineering,95230,2017-11-22,0,thorn.kid@gmail.com,56
00-8823459,Irvine,Shillinglaw,1997-11-15,male,Engineering,172924,2001-09-30,1,irvine.shi@gmail.com,26
00-8842682,Lissi,Copcote,1993-01-21,female,Engineering,176373,2016-08-05,0,lissi.cop@gmail.com,31
00-8912428,Brana,Gwin,1979-05-20,male,Accounting,96168,2019-07-15,0,brana.gwi@gmail.com,45
00-8960230,Mohandis,Piecha,1995-10-04,female,Engineering,170790,2007-05-04,0,mohandis.pie@gmail.com,28
00-9028931,Caressa,"Van Leeuwen",1976-07-14,female,Engineering,138682,2018-12-02,0,caressa.van@gmail.com,48
00-9061522,Garrard,Oakenfull,1996-06-13,male,Sales,141948,2020-10-01,1,garrard.oak@gmail.com,28
00-9089278,Chrissy,Zamudio,1987-03-09,male,Services,73289,2006-02-22,0,chrissy.zam@gmail.com,37
00-9125378,Rosie,Denyakin,1979-12-31,female,Engineering,154987,2020-06-30,1,rosie.den@gmail.com,44
00-9129949,Margery,Darbyshire,1989-06-07,male,Training,103376,2015-04-20,0,margery.dar@gmail.com,35
00-9148951,Sybilla,Oleszkiewicz,1970-10-17,female,Accounting,76378,2012-09-03,0,sybilla.ole@gmail.com,53
00-9220924,Chrysler,Brekonridge,1979-12-17,male,Engineering,99239,2004-09-29,1,chrysler.bre@gmail.com,44
00-9244844,Roselin,Warke,1991-03-04,female,Services,105489,2009-03-31,1,roselin.war@gmail.com,33
00-9248315,Lettie,Shute,1981-05-02,female,Engineering,157248,2012-05-18,0,lettie.shu@gmail.com,43
00-9256735,Alphonse,Horsewood,1997-03-06,female,Engineering,123684,2001-09-16,1,alphonse.hor@gmail.com,27
00-9261338,Sharline,Andrzej,1974-01-17,male,Accounting,158433,2009-05-19,1,sharline.and@gmail.com,50
00-9351773,Liesa,Melling,1997-05-16,female,Auditing,166453,2008-10-30,0,liesa.mel@gmail.com,27
00-9358294,Dale,Whitland,2000-12-04,male,Accounting,142805,2005-08-03,0,dale.whi@gmail.com,23
00-9378033,Mechelle,Waggatt,1977-03-08,female,"Human Resources",157155,2016-03-14,0,mechelle.wag@gmail.com,47
00-9436631,Curr,"De Biasi",2000-01-25,female,"Business Development",101604,2008-09-06,1,"curr.de @gmail.com",24
00-9445290,Audra,Burdus,1978-07-23,male,Services,101710,2010-01-21,1,audra.bur@gmail.com,46
00-9477913,Merlina,Laing,1986-04-02,female,Engineering,152098,2009-01-27,0,merlina.lai@gmail.com,38
00-9519379,Lorianna,Hayley,1993-05-30,male,Engineering,146324,2012-10-01,1,lorianna.hay@gmail.com,31
00-9624016,Carina,Finan,1997-03-18,female,Engineering,183905,2015-10-07,1,carina.fin@gmail.com,27
00-9627775,Nana,Grimme,1973-02-23,male,"Product Management",151834,2018-09-02,1,nana.gri@gmail.com,51
00-9700945,Zora,Peller,1980-09-25,male,Accounting,118772,2012-08-02,1,zora.pel@gmail.com,43
00-9731481,Kelbee,Noni,1992-03-18,female,Engineering,102047,2020-06-03,0,kelbee.non@gmail.com,32
00-9763187,Amandy,Lafferty,1984-07-23,male,Marketing,147523,2017-01-28,0,amandy.laf@gmail.com,40
00-9782513,Kerianne,Bault,1992-07-21,female,"Business Development",144361,2003-07-08,1,kerianne.bau@gmail.com,32
00-9792606,Kalle,Minchindon,1983-08-21,male,Accounting,77167,2002-06-30,0,kalle.min@gmail.com,40
00-9837994,Adam,Tremoille,1991-06-16,male,"Human Resources",141864,2007-08-20,1,adam.tre@gmail.com,33
00-9880182,Fan,Lockley,1998-07-27,male,Support,97907,2012-06-24,0,fan.loc@gmail.com,26
00-9896573,Shae,Avramow,1967-09-18,female,"Human Resources",156913,2006-05-18,1,shae.avr@gmail.com,56
01-0027092,Jock,Aarons,1988-12-23,female,Engineering,173688,2002-08-11,1,jock.aar@gmail.com,35
01-0036386,Dion,Sundin,1971-09-04,female,"Human Resources",142629,2005-10-08,1,dion.sun@gmail.com,52
01-0038079,Tierney,Oldknow,1969-10-24,female,Support,168965,2004-05-18,1,tierney.old@gmail.com,54
01-0074905,Robinson,"Le Moucheux",1982-06-10,female,"Human Resources",118739,2015-03-28,0,"robinson.le @gmail.com",42
01-0116125,Upton,Bowater,1972-05-10,female,Accounting,75007,2013-01-17,0,upton.bow@gmail.com,52
01-0169206,Whitney,Garred,1985-10-10,female,"Business Development",167035,2017-06-02,0,whitney.gar@gmail.com,38
01-0204393,Josephine,Marriot,2002-03-30,female,Engineering,147302,2011-03-19,1,josephine.mar@gmail.com,22
01-0280611,Larine,Dreakin,1983-07-08,male,Engineering,155052,2003-01-18,0,larine.dre@gmail.com,41
01-0348994,Wainwright,Osban,1987-05-14,male,Sales,102713,2001-11-14,1,wainwright.osb@gmail.com,37
01-0364885,Orella,Brim,2000-04-21,male,"Human Resources",93546,2019-11-25,0,orella.bri@gmail.com,24
01-0373372,Aldus,Sturr,1976-08-11,male,Services,184237,2020-03-08,0,aldus.stu@gmail.com,47
01-0381181,Merv,Weiss,1982-09-08,female,Accounting,161942,2003-08-29,0,merv.wei@gmail.com,41
01-0417194,Nissy,Reskelly,1967-03-02,male,Support,93740,2017-01-13,0,nissy.res@gmail.com,57
01-0502994,Jaynell,Hunnybun,1971-05-02,female,"Product Management",171244,2004-02-10,1,jaynell.hun@gmail.com,53
01-0506260,Ives,Phette,1988-11-17,male,"Human Resources",129518,2015-09-18,0,ives.phe@gmail.com,35
01-0551724,Moina,Gabby,1993-11-22,male,Support,119318,2016-12-03,1,moina.gab@gmail.com,30
01-0586118,Barry,Bryns,2000-01-24,female,Engineering,138901,2012-02-22,0,barry.bry@gmail.com,24
01-0600294,Susanna,Bushell,1998-05-26,male,"Product Management",69282,2015-08-14,0,susanna.bus@gmail.com,26
